id,created_at,updated_at,event_type,payload,device_id,uuid,device_type,company_id,Counter,Latitude,Longitude,Internal Temp,External Temp,Internal Pressure,External Pressure,Altitude,External Altitude,Magnetic X-axis,Magnetic Y-axis,Magnetic Z-axis,Acceleration X-axis,Acceleration Y-axis,Acceleration Z-axis,Gyroscope X-axis,Gyroscope Y-axis,Gyroscope Z-axis
3635630,2023-06-08 09:12:06.159488+00,2023-06-08 09:12:06.159543+00,16,"{""DeviceID"":""PINKEY01"",""MessageID"":"":yxu"",""Payload"":""C:5LT:35.3257LG:-120.6617IT:14.8155ET:1.4146e\u002B149IP:99424.7276EP:0.0000IA:159.4215EA:2.8196e\u002B229MX:-153MY:-28MZ:-105AX:0AY:0AZ:10GX:0GY:0,GZ:0"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,5,35.3257,-120.6617,14.8155,1.4146e+149,99424.7276,0.0000,159.4215,2.8196e+229,-153,-28,-105,0,0,10,0,0,0
3635631,2023-06-08 09:12:40.066747+00,2023-06-08 09:12:40.066748+00,16,"{""DeviceID"":""PINKEY01"",""MessageID"":""2lwc"",""Payload"":""C:10LT:35.3257LG:-120.6617IT:14.4712ET:1.4146e\u002B149IP:99425.0812EP:0.0000IA:159.3916EA:2.8196e\u002B229MX:-150MY:-30MZ:-104AX:0AY:0AZ:10GX:0GY:0,GZ:0"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,10,35.3257,-120.6617,14.4712,1.4146e+149,99425.0812,0.0000,159.3916,2.8196e+229,-150,-30,-104,0,0,10,0,0,0
3635632,2023-06-08 09:14:47.705658+00,2023-06-08 09:14:47.705659+00,16,"{""DeviceID"":""PINKEY01"",""MessageID"":""amu3"",""Payload"":""C:15LT:35.3256LG:-120.6617IT:14.2057ET:1.4146e\u002B149IP:99426.1259EP:0.0000IA:159.3033EA:2.8196e\u002B229MX:-148MY:-26MZ:-105AX:0AY:0AZ:10GX:0GY:0,GZ:0"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,15,35.3256,-120.6617,14.2057,1.4146e+149,99426.1259,0.0000,159.3033,2.8196e+229,-148,-26,-105,0,0,10,0,0,0
3635633,2023-06-08 10:52:40.648573+00,2023-06-08 10:52:40.648575+00,16,"{""DeviceID"":""PINKEY01"",""MessageID"":"":yxu"",""Payload"":""C:5LT:35.3256LG:-120.6618IT:22.6550ET:19.0411IP:99357.4038EP:99322.9262IA:165.1146EA:168.0314MX:225MY:-30MZ:-181AX:-5AY:0AZ:8GX:0GY:0,GZ:0"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,5,35.3256,-120.6618,22.6550,19.0411,99357.4038,99322.9262,165.1146,168.0314,225,-30,-181,-5,0,8,0,0,0
3635634,2023-06-08 11:09:18.393351+00,2023-06-08 11:09:18.393352+00,16,"{""DeviceID"":""PINKEY01"",""MessageID"":""bv:r"",""Payload"":""C:44LT:35.3256LG:-120.6618IT:21.1183ET:19.2799IP:99356.0605EP:99320.2439IA:165.2283EA:168.2584MX:221MY:-30MZ:-183AX:-5AY:0AZ:8GX:0GY:0,GZ:"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,44,35.3256,-120.6618,21.1183,19.2799,99356.0605,99320.2439,165.2283,168.2584,221,-30,-183,-5,0,8,0,0,
3635879,2023-06-08 18:50:32.161181+00,2023-06-08 18:50:32.161182+00,33,"{""DeviceID"":""PINKEY01"",""MessageID"":""xfyv"",""Payload"":""C:11LT:35.3255LG:-120.6617IT:25.5655ET:26.2389IP:99480.9047EP:99459.2305IA:154.6733EA:156.5050MX:139MY:-155MZ:-105AX:0AY:0AZ:9GX:0GY:0,GZ:0"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,11,35.3255,-120.6617,25.5655,26.2389,99480.9047,99459.2305,154.6733,156.5050,139,-155,-105,0,0,9,0,0,0
3635885,2023-06-08 19:08:51.89005+00,2023-06-08 19:08:51.890052+00,33,"{""DeviceID"":""PINKEY01"",""MessageID"":""xfyv"",""Payload"":""C:11LT:35.3255LG:-120.6618IT:23.2045ET:23.2977IP:99499.1509EP:99469.2835IA:153.1316EA:155.6554MX:165MY:-218MZ:-96AX:-2AY:0AZ:9GX:0GY:0,GZ:0"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,11,35.3255,-120.6618,23.2045,23.2977,99499.1509,99469.2835,153.1316,155.6554,165,-218,-96,-2,0,9,0,0,0
3635886,2023-06-08 19:10:35.568092+00,2023-06-08 19:10:35.568093+00,33,"{""DeviceID"":""PINKEY01"",""MessageID"":""yam0"",""Payload"":""C:22LT:35.3255LG:-120.6618IT:22.1055ET:22.8113IP:99496.0772EP:99466.9061IA:153.3913EA:155.8563MX:163MY:-208MZ:-98AX:-2AY:0AZ:9GX:0GY:0,GZ:0"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,22,35.3255,-120.6618,22.1055,22.8113,99496.0772,99466.9061,153.3913,155.8563,163,-208,-98,-2,0,9,0,0,0
3635887,2023-06-08 21:40:29.603795+00,2023-06-08 21:40:29.603796+00,33,"{""DeviceID"":""PINKEY01"",""MessageID"":""xfyv"",""Payload"":""C:11LT:35.2005LG:-119.9521IT:24.3549ET:-2.9905e\u002B181IP:93562.2575EP:-3.4782e\u002B177IA:667.3092EA:-7.6593e\u002B182MX:158MY:-371MZ:61AX:0AY:4AZ:8GX:0GY:0,GZ:0"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,11,35.2005,-119.9521,24.3549,-2.9905e+181,93562.2575,-3.4782e+177,667.3092,-7.6593e+182,158,-371,61,0,4,8,0,0,0
3635888,2023-06-08 21:41:51.760295+00,2023-06-08 21:41:51.760296+00,33,"{""DeviceID"":""PINKEY01"",""MessageID"":""jlu3"",""Payload"":""C:22LT:35.2005LG:-119.9521IT:25.1440ET:-2.9905e\u002B181IP:93563.5876EP:-3.4782e\u002B177IA:667.1911EA:-7.6593e\u002B182MX:156MY:-366MZ:58AX:0AY:3AZ:9GX:0GY:0,GZ:0"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,22,35.2005,-119.9521,25.1440,-2.9905e+181,93563.5876,-3.4782e+177,667.1911,-7.6593e+182,156,-366,58,0,3,9,0,0,0
